ID:999 107
50000 56 -1101
60000 29 -755
70000 10 -437
80000 0 -127
90000 5 255
100000 10 437
110000 26 765
120000 32 828
130000 28 773
140000 23 719
150000 19 628
160000 18 583
170000 13 500
180000 10 419
190000 8 355
200000 7 291
210000 7 237
220000 8 146
230000 4 109
240000 4 55
250000 0 -9
260000 4 -73
270000 1 -118
280000 5 -173
290000 1 -183
300000 6 -246
310000 7 -274
320000 7 -300
330000 8 -309
340000 3 -291
350000 9 -346
360000 9 -346
370000 8 -346
380000 6 -300
390000 6 -274
400000 7 -264
410000 4 -237
420000 6 -228
430000 4 -191
440000 4 -173
450000 3 -164
460000 4 -127
470000 0 -127
480000 2 -109
490000 2 -82
500000 -1 -73
510000 4 -73
520000 0 -64
530000 2 -64
540000 0 -46
550000 3 -46
560000 3 -36
570000 1 -64
580000 0 -64
590000 2 -27
600000 2 -36
610000 4 -27
620000 0 -9
630000 6 -18
640000 3 -18
650000 4 -9
660000 3 9
670000 4 -18
680000 2 -18
690000 0 -36
700000 4 -18
710000 4 -27
720000 0 -64
730000 1 -27
740000 4 -9
750000 2 -9
760000 6 -55
770000 6 -36
780000 0 -64
790000 2 -82
800000 2 -109
810000 1 -27
820000 0 -82
830000 2 -55
840000 2 0
850000 4 -36
860000 3 -82
870000 4 -27
880000 -1 -73
890000 0 -64
900000 1 -55
910000 -1 -109
920000 4 0
930000 0 -64
940000 4 -27
950000 -1 -100
1200000 0 -82
1210000 0 -82
1220000 0 -127
1230000 1 -82
1240000 0 -109
1250000 1 -64
1260000 0 -109
1270000 2 -100
1280000 0 -127
1290000 2 -92
1300000 2 -82
1310000 0 -100
1320000 2 -73
1330000 1 -55
1340000 1 -64
1350000 3 -109
1350000 3 -109
